user_id,mss_length,maturity_store_segment
241,388,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1849"",""1881"",""1962"",""1968"",""1971"",""2013"",""2074"",""2077"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2243"",""2266"",""2270"",""2283"",""2312"",""2313"",""2350"",""2451"",""2457"",""2461"",""2480"",""2708"",""2717"",""2726"",""2769"",""2771"",""2772"",""3189"",""3195"",""3205"",""3429"",""3670"",""3824"",""3826"",""3829"",""3830"",""4025"",""4027"",""4111"",""A7"",""A12"",""A15"",""A16""]"
245,376,"[""1277"",""1496"",""1627"",""1679"",""1681"",""1829"",""1848"",""1849"",""1881"",""1962"",""1971"",""1991"",""2013"",""2074"",""2129"",""2165"",""2167"",""2173"",""2237"",""2243"",""2266"",""2270"",""2283"",""2291"",""2313"",""2350"",""2447"",""2457"",""2708"",""2726"",""2753"",""2772"",""3190"",""3194"",""3207"",""3263"",""3275"",""3276"",""3429"",""3493"",""3822"",""3823"",""3824"",""3826"",""3829"",""3830"",""3961"",""4003"",""4024"",""4025"",""4027"",""4111"",""A7"",""A12""]"
246,377,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1847"",""1849"",""1881"",""1882"",""1962"",""1971"",""2075"",""2077"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2270"",""2283"",""2312"",""2313"",""2350"",""2452"",""2457"",""2461"",""2465"",""2480"",""2708"",""2717"",""2770"",""3263"",""3423"",""3649"",""3670"",""3824"",""3826"",""3829"",""3961"",""4025"",""4027"",""4111"",""A21"",""A7"",""A12"",""A15"",""Loyalty_Insurance_Registered""]"
247,396,"[""1189"",""1277"",""1331"",""1496"",""1627"",""1679"",""1681"",""1829"",""1846"",""1848"",""1850"",""1881"",""1965"",""1967"",""1969"",""1971"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2243"",""2249"",""2266"",""2270"",""2283"",""2291"",""2313"",""2350"",""2453"",""2457"",""2461"",""2480"",""2708"",""2717"",""2726"",""2771"",""2772"",""3263"",""3275"",""3276"",""3429"",""3670"",""3822"",""3823"",""3824"",""3826"",""3829"",""3830"",""4024"",""4025"",""4027"",""A7"",""A14"",""A16""]"
252,320,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1831"",""1848"",""1850"",""1881"",""1962"",""1969"",""1971"",""2004"",""2013"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2447"",""2457"",""2461"",""2465"",""2480"",""2708"",""2726"",""3275"",""3649"",""3670"",""3961"",""3982"",""4003"",""4025"",""4027"",""A7"",""A12""]"
264,348,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1831"",""1848"",""1849"",""1881"",""1962"",""1971"",""2004"",""2013"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2447"",""2457"",""2461"",""2465"",""2480"",""2708"",""2717"",""2726"",""3275"",""3649"",""3670"",""3961"",""3982"",""4003"",""4024"",""4025"",""4027"",""A7"",""A12""]"
269,303,"[""1190"",""1277"",""1415"",""1496"",""1627"",""1679"",""1681"",""1739"",""1829"",""1848"",""1849"",""1881"",""1971"",""2074"",""2129"",""2165"",""2173"",""2174"",""2237"",""2248"",""2270"",""2283"",""2312"",""2313"",""2350"",""2454"",""2457"",""2717"",""3263"",""3421"",""3429"",""3824"",""3826"",""3829"",""3830"",""4024"",""4025"",""4027"",""4111"",""A21"",""A7"",""A14"",""A15"",""A16""]"
291,358,"[""1189"",""1484"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1847"",""1849"",""1881"",""1968"",""1971"",""2074"",""2077"",""2078"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2248"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2350"",""2450"",""2457"",""2461"",""2480"",""2726"",""2770"",""2771"",""3263"",""3421"",""3422"",""3429"",""3671"",""3824"",""3826"",""3829"",""4111"",""A20"",""A21"",""A7"",""A14"",""A15"",""A16""]"
298,343,"[""1190"",""1277"",""1329"",""1496"",""1627"",""1679"",""1681"",""1829"",""1848"",""1849"",""1971"",""2074"",""2129"",""2165"",""2173"",""2174"",""2237"",""2248"",""2270"",""2283"",""2291"",""2350"",""2454"",""2457"",""2708"",""2717"",""2726"",""2769"",""2771"",""3189"",""3195"",""3205"",""3211"",""3263"",""3421"",""3422"",""3429"",""3824"",""3826"",""3829"",""3830"",""4025"",""4027"",""4110"",""A21"",""A3"",""A7"",""A14"",""A15"",""A16""]"
301,339,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1831"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2013"",""2074"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2449"",""2457"",""2461"",""2465"",""2480"",""2708"",""2717"",""2726"",""3190"",""3196"",""3263"",""3649"",""3670"",""3829"",""3961"",""A3"",""A7"",""A12""]"
303,334,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2013"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2243"",""2266"",""2270"",""2283"",""2291"",""2313"",""2350"",""2449"",""2457"",""2461"",""2480"",""2708"",""2726"",""2754"",""3190"",""3194"",""3263"",""3276"",""3670"",""3829"",""3961"",""A5"",""A12""]"
313,357,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1831"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2013"",""2074"",""2076"",""2107"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2447"",""2457"",""2461"",""2465"",""2480"",""2708"",""2726"",""3190"",""3196"",""3263"",""3649"",""3670"",""3829"",""3961"",""4003"",""A7"",""A12"",""A15"",""TAO_D11""]"
337,377,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1849"",""1881"",""1962"",""1965"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2243"",""2266"",""2270"",""2283"",""2291"",""2313"",""2350"",""2461"",""2465"",""2480"",""2708"",""2717"",""2726"",""2753"",""3275"",""3276"",""3429"",""3649"",""3670"",""3822"",""3823"",""3824"",""3826"",""3830"",""3961"",""3982"",""4003"",""4024"",""4025"",""4027"",""A6""]"
382,388,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1849"",""1881"",""1882"",""1968"",""1971"",""2004"",""2071"",""2074"",""2077"",""2078"",""2129"",""2165"",""2167"",""2173"",""2237"",""2243"",""2270"",""2283"",""2312"",""2313"",""2350"",""2456"",""2457"",""2717"",""2726"",""3275"",""3421"",""3429"",""3494"",""3823"",""3824"",""3829"",""3830"",""4024"",""4025"",""4027"",""4111"",""A20"",""A3"",""A7"",""A14"",""A15"",""A16"",""Loyalty_Insurance_Registered""]"
395,395,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1849"",""1881"",""1965"",""1967"",""1971"",""2013"",""2074"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2243"",""2248"",""2266"",""2270"",""2283"",""2313"",""2350"",""2455"",""2457"",""2461"",""2480"",""2717"",""2726"",""2769"",""3189"",""3193"",""3204"",""3210"",""3429"",""3670"",""3822"",""3823"",""3824"",""3826"",""3829"",""3830"",""3961"",""4025"",""4027"",""4111"",""A7"",""A12"",""A15"",""A16""]"
409,311,"[""1277"",""1496"",""1627"",""1679"",""1681"",""1829"",""1847"",""1849"",""1881"",""1962"",""1971"",""2004"",""2013"",""2074"",""2129"",""2165"",""2167"",""2173"",""2237"",""2243"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2449"",""2457"",""2461"",""2465"",""2708"",""2717"",""2726"",""2755"",""3189"",""3193"",""3204"",""3210"",""3421"",""3649"",""3829"",""A5"",""A12"",""A15"",""A16""]"
413,357,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1849"",""1881"",""1965"",""1968"",""1971"",""2004"",""2071"",""2074"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2248"",""2266"",""2270"",""2283"",""2291"",""2313"",""2350"",""2447"",""2457"",""2708"",""2717"",""2726"",""3421"",""3429"",""3495"",""3823"",""3824"",""3829"",""3830"",""4024"",""4025"",""4027"",""4110"",""A20"",""A3"",""A7"",""A14"",""A15"",""A16""]"
414,334,"[""1277"",""1496"",""1627"",""1679"",""1681"",""1829"",""1831"",""1846"",""1848"",""1850"",""1881"",""1962"",""1969"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2447"",""2457"",""2461"",""2465"",""2480"",""2708"",""2726"",""3190"",""3194"",""3275"",""3649"",""3670"",""3829"",""3961"",""3982"",""4003"",""4024"",""4025"",""4027"",""A7"",""A12""]"
416,424,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1831"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2004"",""2013"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2243"",""2266"",""2270"",""2283"",""2291"",""2313"",""2447"",""2457"",""2461"",""2465"",""2480"",""2708"",""2726"",""2755"",""3190"",""3192"",""3275"",""3429"",""3649"",""3670"",""3822"",""3823"",""3824"",""3826"",""3829"",""3830"",""3961"",""3982"",""4003"",""4025"",""4027"",""A7"",""A12"",""A15""]"
419,293,"[""1168"",""1189"",""1277"",""1332"",""1496"",""1881"",""2243"",""2270"",""2291"",""2292"",""2312"",""2313"",""2350"",""2708"",""2717"",""2726"",""2769"",""2771"",""2772"",""3275"",""3423"",""3429"",""3822"",""3823"",""3824"",""3826"",""3829"",""3830"",""4024"",""4025"",""4027"",""4111"",""A20"",""A7"",""A14"",""A15"",""Loyalty_Insurance_Registered"",""key_account""]"
493,383,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1849"",""1881"",""1965"",""1971"",""2071"",""2074"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2243"",""2248"",""2266"",""2270"",""2283"",""2291"",""2313"",""2350"",""2450"",""2457"",""2461"",""2480"",""2717"",""2726"",""2771"",""3421"",""3422"",""3670"",""3823"",""3824"",""3826"",""3830"",""4025"",""4027"",""4110"",""A20"",""A7"",""A14"",""A15"",""A16"",""Loyalty_Insurance_Registered""]"
519,386,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1849"",""1881"",""1967"",""1970"",""2004"",""2013"",""2075"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2243"",""2266"",""2270"",""2281"",""2283"",""2291"",""2313"",""2350"",""2452"",""2457"",""2461"",""2465"",""2708"",""2717"",""2726"",""2769"",""2771"",""2772"",""3258"",""3421"",""3423"",""3428"",""3429"",""3649"",""3823"",""3824"",""4025"",""4028"",""4110"",""A20"",""A3"",""A7"",""A14"",""A15""]"
536,298,"[""1277"",""1496"",""1627"",""1679"",""1681"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1967"",""1971"",""2013"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2449"",""2457"",""2461"",""2465"",""2480"",""2708"",""2726"",""3190"",""3196"",""3263"",""3649"",""3670"",""3829"",""A5"",""A12"",""A15""]"
561,359,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1850"",""1881"",""1968"",""1971"",""2074"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2248"",""2270"",""2283"",""2291"",""2313"",""2350"",""2456"",""2457"",""2708"",""2717"",""2726"",""2769"",""2771"",""2772"",""3189"",""3195"",""3205"",""3275"",""3421"",""3429"",""3824"",""3826"",""3830"",""4024"",""4025"",""4027"",""4111"",""A20"",""A7"",""A14"",""A15"",""A16""]"
597,376,"[""1190"",""1277"",""1329"",""1496"",""1627"",""1679"",""1681"",""1829"",""1846"",""1848"",""1849"",""1881"",""1882"",""1967"",""1971"",""2071"",""2074"",""2077"",""2129"",""2165"",""2167"",""2173"",""2248"",""2270"",""2283"",""2313"",""2350"",""2454"",""2457"",""2461"",""2465"",""2717"",""3421"",""3422"",""3649"",""3822"",""3823"",""3824"",""3826"",""3829"",""3830"",""4024"",""4025"",""4027"",""4110"",""A20"",""A7"",""A14"",""A15"",""A16"",""Loyalty_Insurance_Registered""]"
598,390,"[""1190"",""1484"",""1496"",""1604"",""1627"",""1679"",""1681"",""1739"",""1829"",""1848"",""1849"",""1881"",""1882"",""1968"",""1971"",""2071"",""2075"",""2077"",""2078"",""2129"",""2165"",""2167"",""2173"",""2174"",""2248"",""2266"",""2270"",""2283"",""2312"",""2313"",""2350"",""2454"",""2457"",""2461"",""2480"",""2708"",""2717"",""2769"",""3263"",""3421"",""3429"",""3671"",""3824"",""3826"",""3829"",""3962"",""4111"",""A21"",""A7"",""A12"",""A15"",""A16"",""Loyalty_Insurance_Registered""]"
634,301,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1849"",""1881"",""1968"",""1970"",""2004"",""2074"",""2129"",""2173"",""2174"",""2237"",""2248"",""2266"",""2270"",""2283"",""2312"",""2313"",""2350"",""2454"",""2457"",""2727"",""2769"",""2770"",""2771"",""3429"",""3824"",""3826"",""4025"",""4028"",""4110"",""A20"",""A3"",""A7"",""A14"",""A15"",""A16""]"
866,270,"[""1277"",""1496"",""1627"",""1679"",""1681"",""1829"",""1848"",""1849"",""1881"",""1962"",""1969"",""1971"",""2074"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2449"",""2457"",""2461"",""2465"",""2480"",""2708"",""2726"",""3190"",""3196"",""3263"",""3649"",""3670"",""3829"",""A7"",""A12"",""A15""]"
985,199,"[""1277"",""1496"",""1881"",""1882"",""2013"",""2243"",""2270"",""2313"",""2350"",""2708"",""2717"",""2769"",""2771"",""3275"",""3429"",""3822"",""3823"",""3824"",""3826"",""3830"",""4024"",""4025"",""4027"",""A7"",""A12"",""A15"",""A16"",""key_account""]"
1021,373,"[""1277"",""1496"",""1627"",""1679"",""1681"",""1829"",""1847"",""1849"",""1881"",""1965"",""1968"",""1971"",""2004"",""2013"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2350"",""2449"",""2457"",""2717"",""2726"",""2753"",""3189"",""3193"",""3204"",""3275"",""3276"",""3421"",""3422"",""3429"",""3822"",""3823"",""3824"",""3826"",""3830"",""4025"",""4027"",""A20"",""A7"",""A14"",""A15"",""A16""]"
1023,395,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1850"",""1962"",""1971"",""1991"",""2013"",""2074"",""2129"",""2165"",""2167"",""2173"",""2237"",""2243"",""2266"",""2270"",""2283"",""2291"",""2313"",""2350"",""2447"",""2457"",""2461"",""2465"",""2480"",""2708"",""2726"",""3189"",""3195"",""3205"",""3275"",""3276"",""3429"",""3649"",""3670"",""3822"",""3824"",""3826"",""3829"",""3830"",""3961"",""3982"",""4003"",""4025"",""4027"",""4111"",""A7"",""A12"",""A15"",""A16""]"
1024,398,"[""1190"",""1277"",""1329"",""1496"",""1627"",""1679"",""1681"",""1829"",""1848"",""1849"",""1881"",""1882"",""1971"",""2071"",""2074"",""2078"",""2129"",""2167"",""2173"",""2174"",""2237"",""2270"",""2283"",""2312"",""2313"",""2350"",""2453"",""2457"",""2461"",""2480"",""2717"",""2727"",""2769"",""2771"",""2772"",""3263"",""3421"",""3423"",""3428"",""3429"",""3670"",""3822"",""3824"",""3826"",""3829"",""3830"",""4025"",""4027"",""4111"",""A20"",""A7"",""A14"",""A15"",""Loyalty_Insurance_Registered""]"
1029,356,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1849"",""1881"",""1962"",""1971"",""2004"",""2074"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2350"",""2461"",""2465"",""2480"",""2708"",""2717"",""2726"",""3190"",""3196"",""3275"",""3429"",""3649"",""3670"",""3822"",""3823"",""3824"",""3826"",""3830"",""3961"",""3982"",""4003"",""4024"",""4025"",""4027"",""A6""]"
1045,386,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1962"",""1965"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2107"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2350"",""2461"",""2465"",""2480"",""2708"",""2726"",""3275"",""3429"",""3649"",""3670"",""3822"",""3823"",""3824"",""3826"",""3830"",""3961"",""3982"",""4003"",""4024"",""4025"",""4027"",""A6"",""A11"",""TAO_D11""]"
1061,336,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1847"",""1849"",""1881"",""1968"",""1971"",""2074"",""2075"",""2077"",""2078"",""2129"",""2165"",""2167"",""2173"",""2174"",""2248"",""2266"",""2270"",""2281"",""2283"",""2312"",""2313"",""2350"",""2450"",""2457"",""2717"",""2769"",""2770"",""2771"",""3421"",""3824"",""3826"",""3829"",""4025"",""4028"",""4110"",""A20"",""A3"",""A7"",""A14"",""A15"",""A16""]"
1071,342,"[""1190"",""1277"",""1329"",""1496"",""1627"",""1679"",""1681"",""1829"",""1848"",""1850"",""1881"",""1968"",""1971"",""2074"",""2077"",""2078"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2243"",""2270"",""2283"",""2291"",""2312"",""2313"",""2350"",""2456"",""2457"",""2708"",""2717"",""2769"",""3263"",""3421"",""3429"",""3824"",""3829"",""3830"",""4025"",""4027"",""4111"",""A20"",""A21"",""A3"",""A7"",""A14"",""A15"",""A16""]"
1074,394,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1849"",""1881"",""1962"",""1965"",""1971"",""2074"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2248"",""2266"",""2270"",""2283"",""2291"",""2313"",""2350"",""2452"",""2457"",""2461"",""2465"",""2480"",""2708"",""2717"",""2726"",""2771"",""2772"",""3263"",""3275"",""3421"",""3429"",""3649"",""3670"",""3823"",""3824"",""3826"",""3829"",""3830"",""4025"",""4027"",""4110"",""A21"",""A7"",""A14"",""A15"",""A16""]"
1123,403,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1849"",""1881"",""1965"",""1967"",""1971"",""2013"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2243"",""2266"",""2270"",""2283"",""2291"",""2313"",""2350"",""2451"",""2457"",""2461"",""2465"",""2480"",""2708"",""2726"",""2772"",""3263"",""3275"",""3276"",""3423"",""3428"",""3429"",""3649"",""3670"",""3822"",""3823"",""3824"",""3826"",""3829"",""3830"",""4024"",""4025"",""4027"",""A20"",""A7"",""A14""]"
1173,403,"[""1168"",""1189"",""1277"",""1332"",""1496"",""1627"",""1679"",""1681"",""1829"",""1847"",""1849"",""1881"",""1962"",""1968"",""1971"",""2071"",""2074"",""2077"",""2078"",""2129"",""2165"",""2166"",""2173"",""2174"",""2237"",""2248"",""2266"",""2270"",""2283"",""2291"",""2350"",""2450"",""2457"",""2708"",""2717"",""2726"",""2771"",""3263"",""3421"",""3422"",""3429"",""3823"",""3824"",""3826"",""3829"",""3830"",""4025"",""4027"",""4110"",""A3"",""A7"",""A14"",""A15"",""A16"",""Loyalty_Insurance_Registered""]"
1174,389,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1849"",""1881"",""1962"",""1970"",""2013"",""2074"",""2129"",""2165"",""2166"",""2167"",""2173"",""2237"",""2243"",""2266"",""2270"",""2281"",""2283"",""2291"",""2313"",""2350"",""2449"",""2457"",""2461"",""2465"",""2480"",""2708"",""2726"",""2772"",""3190"",""3194"",""3258"",""3275"",""3429"",""3494"",""3649"",""3670"",""3822"",""3823"",""3824"",""3826"",""3961"",""4024"",""4025"",""4028"",""A7"",""A12"",""A15""]"
1176,233,"[""1277"",""1496"",""1881"",""2013"",""2243"",""2249"",""2270"",""2291"",""2292"",""2350"",""2708"",""2717"",""2726"",""2772"",""3263"",""3421"",""3429"",""3822"",""3823"",""3824"",""3826"",""3829"",""3830"",""4024"",""4025"",""4027"",""4111"",""A20"",""A7"",""A14"",""A15"",""A16"",""key_account""]"
1179,372,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1968"",""1969"",""1971"",""2071"",""2074"",""2076"",""2077"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2243"",""2270"",""2283"",""2291"",""2313"",""2350"",""2452"",""2457"",""2461"",""2480"",""2717"",""2726"",""3275"",""3276"",""3423"",""3429"",""3670"",""3824"",""3826"",""3829"",""3830"",""4025"",""4027"",""4111"",""A20"",""A3"",""A7"",""A14"",""A15""]"
